"Release_Date","Title","Popularity","Vote_Count","Vote_Average","Original_Language","Genre"
"2021-12-15","Spider-Man: No Way Home",5083.954,"8940","8.3","en","Action, Adventure, Science Fiction"
"2022-03-01","The Batman",3827.658,"1151","8.1","en","Crime, Mystery, Thriller"
"2022-02-25","No Exit",2618.087,"122","6.3","en","Thriller"
"2021-11-24","Encanto",2402.201,"5076","7.7","en","Animation, Comedy, Family, Fantasy"
"2021-12-22","The King's Man",1895.511,"1793","7.0","en","Action, Adventure, Thriller, War"
"2022-01-07","The Commando",1750.484,"33","6.6","en","Action, Crime, Thriller"
"2022-01-12","Scream",1675.161,"821","6.8","en","Horror, Mystery, Thriller"
"2022-02-10","Kimi",1601.782,"206","6.3","en","Thriller"
"2022-02-17","Fistful of Vengeance",1594.013,"114","5.3","en","Action, Crime, Fantasy"
"2021-11-03","Eternals",1537.406,"4726","7.2","en","Science Fiction"
"2022-02-18","Pursuit",1500.523,"16","5.9","en","Action, Crime, Thriller"
"2021-08-06","My Hero Academia: World Heroes' Mission",1485.064,"100","7.3","ja","Animation, Action, Fantasy, Adventure"
"2022-02-25","Restless",1468.377,"107","5.9","fr","Action, Thriller, Crime"
"2021-12-02","Nightmare Alley",1455.144,"952","7.1","en","Crime, Drama, Thriller"
"2022-01-28","The Ice Age Adventures of Buck Wild",1431.307,"737","7.1","en","Animation, Comedy, Adventure, Family"
"2022-02-25","Hotel Transylvania: Transformania",1373.778,"288","7.0","en","Animation, Family, Fantasy, Comedy, Adventure"
"2022-02-18","Texas Chainsaw Massacre",1312.79,"521","5.1","en","Horror"
"2022-01-28","The Requin",1252.317,"65","4.6","en","Thriller"
"2022-02-04","Looop Lapeta",1240.946,"31","6.0","hi","Action, Comedy, Crime"
"2021-11-04","Red Notice",1178.544,"3193","6.8","en","Action, Comedy, Crime, Thriller"
"2021-12-01","Sing 2",1112.9,"2172","8.2","en","Animation, Comedy, Family, Music"
"2022-01-03","The Jack in the Box: Awakening",1096.79,"43","5.4","en","Horror"
"2021-09-30","Venom: Let There Be Carnage",1053.615,"6539","7.1","en","Science Fiction, Action, Adventure"
"2021-12-16","The Matrix Resurrections",941.024,"3160","6.8","en","Science Fiction, Action, Adventure"
"2021-11-24","Resident Evil: Welcome to Raccoon City",881.086,"1312","6.1","en","Horror, Action, Science Fiction"
"2021-10-19","Last Man Down",869.605,"318","6.3","en","Action, Thriller"
"2022-01-07","American Siege",867.326,"49","5.4","en","Action, Thriller, Crime, Drama"
"2022-02-10","Uncharted",866.391,"691","7.1","en","Action, Adventure"
"2020-10-16","Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train",845.992,"2224","8.4","ja","Animation, Action, Adventure, Fantasy"
"2021-11-11","Ghostbusters: Afterlife",839.904,"2225","7.7","en","Fantasy, Comedy, Adventure"
"2022-01-05","The 355",781.748,"313","6.1","en","Action, Thriller"
"2021-09-01","Shang-Chi and the Legend of the Ten Rings",769.185,"5845","7.7","en","Action, Adventure, Fantasy"
"2022-02-09","Marry Me",761.793,"230","6.9","en","Romance, Comedy, Music"
"2022-01-21","The Hunting",761.127,"10","5.8","en","Horror"
"2021-12-08","West Side Story",678.186,"562","7.4","en","Drama, Romance, Crime"
"2022-02-04","Through My Window",659.105,"1331","7.8","es","Romance, Drama"
"2021-07-02","The Seven Deadly Sins: Cursed by Light",647.54,"312","8.0","ja","Animation, Fantasy"
"2021-11-05","One Shot",622.24,"382","6.8","en","Action"
"2022-01-24","Tom and Jerry: Cowboy Up!",614.11,"163","7.1","en","Animation, Comedy, Family, Western"
"2020-10-15","Chernobyl: Abyss",601.958,"314","6.2","ru","Drama, History, Adventure"
"2022-02-25","Desperate Riders",590.474,"10","6.8","en","Western, Action"
"2021-11-10","Clifford the Big Red Dog",585.011,"1100","7.3","en","Family, Adventure, Comedy, Fantasy"
"2022-02-25","Tyler Perry's A Madea Homecoming",577.591,"42","6.7","en","Comedy"
"2021-07-01","The Boss Baby: Family Business",567.421,"1785","7.6","en","Animation, Comedy, Adventure, Family"
"2022-03-10","Turning Red",564.507,"8","8.6","en","Animation, Family, Comedy, Fantasy"
"2022-01-13","Brazen",553.141,"211","4.8","en","Thriller, Mystery, Drama"
"2022-01-14","The House",551.65,"432","7.1","en","Animation, Drama, Comedy, Horror"
"2022-02-10","Blacklight",533.903,"88","5.1","en","Action, Thriller"
"2021-10-15","Ron's Gone Wrong",509.277,"1000","8.1","en","Animation, Science Fiction, Family, Comedy"
"2021-08-11","Free Guy",447.872,"5158","7.7","en","Comedy, Action, Adventure, Science Fiction"
"2021-05-26","Cruella",429.613,"6675","8.2","en","Comedy, Crime"
"2021-07-28","The Suicide Squad",424.983,"5689","7.7","en","Action, Adventure, Fantasy"
"2021-11-12","The Simpsons in Plusaversary",418.589,"251","6.6","en","Animation, Comedy, Fantasy"
"2022-01-17","Forgive Us Our Trespasses",409.688,"27","6.3","en","Drama, War"
"2021-06-17","Luca",408.749,"5886","8.0","en","Animation, Comedy, Family, Fantasy"
"2021-04-07","Mortal Kombat",402.273,"4447","7.2","en","Action, Fantasy, Adventure"
"2021-03-18","Zack Snyder's Justice League",398.461,"7414","8.3","en","Action, Adventure, Fantasy, Science Fiction"
"2021-12-17","Mother/Android",398.12,"422","5.8","en","Science Fiction, Thriller"
"1986-11-04","Exploits of a Young Don Juan",396.948,"88","5.5","fr","Comedy, Drama"
"2021-09-15","Dune",394.295,"6237","7.9","en","Science Fiction, Adventure"
"2021-01-01","The Last Warrior: Root of Evil",391.957,"89","7.1","ru","Fantasy, Adventure, Comedy"
"2022-02-09","The Privilege",387.924,"104","5.1","de","Horror"
"2021-06-11","Queen of Spades",387.159,"37","6.4","en","Horror"
"2021-10-28","Antlers",380.88,"544","6.4","en","Drama, Horror, Mystery"
"2021-11-05","Dangerous",379.856,"175","6.4","en","Action, Thriller"
"2021-09-01","After We Fell",365.85,"1563","7.2","en","Romance, Drama"
"2021-09-29","No Time to Die",360.164,"3616","7.5","en","Adventure, Action, Thriller"
"2021-11-05","Sooryavanshi",352.368,"93","5.8","hi","Action, Crime, Thriller"
"2021-11-04","Finch",348.942,"2075","8.1","en","Science Fiction, Drama, Adventure"
"2021-07-23","Two",342.661,"207","5.4","es","Thriller, Horror"
"2021-08-09","PAW Patrol: The Movie",339.374,"855","7.5","en","Animation, Family, Adventure, Comedy"
"2018-04-25","Avengers: Infinity War",338.402,"24079","8.3","en","Adventure, Action, Science Fiction"
"1989-06-23","Batman",338.272,"6109","7.2","en","Fantasy, Action"
"2021-07-07","Black Widow",337.651,"7127","7.5","en","Action, Adventure, Science Fiction"
"2022-02-18","The Wonderful Winter of Mickey Mouse",333.354,"3","5.7","en","Animation, Comedy"
"2021-05-19","F9",331.944,"5092","7.3","en","Action, Crime, Thriller, Adventure"
"2022-02-03","Moonfall",328.678,"186","5.9","en","Action, Adventure, Science Fiction"
"2022-02-04","Sex, Shame and Tears 2",325.624,"5","2.2","es","Comedy, Drama"
"2021-12-03","Diary of a Wimpy Kid",324.706,"189","6.5","en","Animation, Comedy, Family"
"2022-02-15","AI Love You",317.643,"16","5.3","th","Comedy, Romance, Science Fiction"
"2022-03-30","Sonic the Hedgehog 2",317.159,"0","0.0","en","Action, Science Fiction, Comedy, Family"
"2022-02-17","Erax",317.102,"12","5.7","en","Mystery, Family"
"2020-08-04","Deathstroke: Knights & Dragons - The Movie",314.388,"325","6.9","en","Animation, Action, Adventure, Science Fiction"
"2021-10-13","The Last Duel",312.916,"1848","7.6","en","Action, Drama, History"
"2022-01-26","The Pirates: The Last Royal Treasure",311.94,"38","6.6","ko","Action, Adventure, Comedy, History"
"2021-10-29","Paranormal Activity: Next of Kin",310.011,"300","6.5","en","Horror, Mystery, Thriller"
"2021-11-24","House of Gucci",308.214,"1276","6.8","en","Drama, Crime, Thriller"
"2021-02-11","Dark Spell",308.037,"80","6.7","ru","Romance, Horror, Thriller"
"2021-07-28","Jungle Cruise",307.936,"4034","7.6","en","Action, Adventure, Comedy, Fantasy"
"2021-03-24","Godzilla vs. Kong",307.521,"7681","7.8","en","Action, Fantasy, Science Fiction"
"2012-06-23","The Amazing Spider-Man",306.376,"14564","6.7","en","Action, Adventure, Fantasy"
"2022-02-17","Heart Shot",302.272,"16","5.6","en","Romance, Crime"
"2009-12-10","Avatar",297.357,"25011","7.5","en","Action, Adventure, Fantasy, Science Fiction"
"2021-06-11","Mobile Suit Gundam Hathaway",292.604,"77","7.8","ja","Animation, Action, Drama, Science Fiction"
"2021-10-27","Army of Thieves",290.54,"1167","6.9","en","Crime, Comedy"
"2022-02-23","UFO",290.481,"15","5.2","tr","Drama, Romance"
"2022-03-03","The Weekend Away",290.206,"119","5.9","en","Thriller, Mystery"
"2020-11-25","The Croods: A New Age",284.798,"2877","7.6","en","Animation, Family, Adventure, Fantasy, Comedy"
"2021-12-03","Back to the Outback",282.246,"341","7.7","en","Animation, Family, Adventure, Comedy"
"2021-07-02","The Tomorrow War",282.068,"5182","8.0","en","Action, Science Fiction, Adventure"
"2022-01-28","Home Team",280.613,"368","6.9","en","Family, Comedy"
"2021-03-17","The Fallout",279.344,"130","7.4","en","Drama"
"2021-03-03","Raya and the Last Dragon",277.59,"5048","8.0","en","Family, Fantasy, Animation, Action, Adventure"
"2021-09-09","Infinite",276.461,"912","6.8","en","Science Fiction, Action, Thriller"
"2021-04-22","Wrath of Man",273.622,"3376","7.7","en","Action, Crime, Thriller"
"2021-12-17","Fortress",273.35,"163","6.2","en","Crime, Action, Thriller"
"2021-07-08","Space Jam: A New Legacy",271.573,"2952","7.1","en","Family, Animation, Comedy, Science Fiction"
"2022-01-13","Laura y el misterio del asesino inesperado",266.754,"8","7.3","es","TV Movie, Mystery, Thriller, Comedy"
"2021-05-25","The Conjuring: The Devil Made Me Do It",266.614,"4233","7.7","en","Horror, Mystery, Thriller"
"2005-06-10","Batman Begins",265.806,"17338","7.7","en","Action, Crime, Drama"
"2022-01-20","The Royal Treatment",264.99,"390","6.8","en","Romance, Comedy"
"2021-11-12","Ciao Alberto",261.672,"412","7.5","en","Animation, Comedy, Family, Fantasy"
"2021-06-05","Gone Mom: The Disappearance of Jennifer Dulos",257.852,"113","7.8","en","TV Movie, Thriller, Crime"
"2021-06-28","Ripper Untold",257.473,"75","6.6","en","Horror"
"2021-05-26","Meander",256.866,"218","6.1","fr","Horror, Science Fiction, Drama, Thriller"
"2021-11-18","Zeros and Ones",256.443,"117","5.3","en","Thriller, War"
"2021-07-22","Snake Eyes: G.I. Joe Origins",254.31,"1028","6.8","en","Action, Adventure"
"2021-10-08","Survive the Game",252.22,"107","5.8","en","Action, Thriller, Crime"
"2021-05-28","Riverdance: The Animated Adventure",250.831,"28","5.2","en","Animation, Fantasy, Music, Adventure, Comedy, Family"
"2021-11-12","Apex",249.46,"402","5.4","en","Action, Thriller, Science Fiction"
"2022-02-02","The Tinder Swindler",246.652,"455","7.1","en","Documentary, Crime"
"2022-02-11","Love Tactics",244.573,"83","6.7","tr","Romance, Comedy"
"2021-10-01","The Addams Family 2",244.18,"785","7.2","en","Animation, Adventure, Comedy, Family"
"2021-04-27","Dynasty Warriors",242.342,"84","6.5","cn","Action, Adventure, Fantasy"
"2021-05-15","Miraculous World: Shanghai – The Legend of Ladydragon",241.638,"411","7.9","fr","Animation, Comedy, Family, Adventure"
"2020-11-21","Miraculous World: New York, United HeroeZ",240.048,"862","8.3","fr","Animation, Family, Comedy, Adventure, TV Movie"
"2022-03-03","Surviving Paradise: A Family Tale",240.002,"7","6.9","en","Documentary"
"2019-12-20","My Hero Academia: Heroes Rising",239.599,"890","8.4","ja","Animation, Action, Fantasy, Adventure"
"2021-11-04","Amina",237.262,"92","6.5","en","War, History, Drama"
"2021-12-03","Encounter",235.482,"256","6.4","en","Adventure, Drama"
"2021-08-06","Son",232.494,"90","6.0","en","Horror, Thriller"
"2020-12-16","Wonder Woman 1984",231.756,"6599","6.6","en","Action, Adventure, Fantasy"
"2014-04-16","The Amazing Spider-Man 2",231.441,"10763","6.5","en","Action, Adventure, Fantasy"
"2021-12-02","The Whole Truth",231.334,"109","6.5","th","Horror"
"2022-02-07","Catwoman: Hunted",231.061,"26","6.2","en","Animation, Action, Crime"
"2016-10-07","Hacksaw Ridge",230.758,"10667","8.2","en","Drama, History, War"
"2021-05-06","Crazy Fist",230.547,"44","7.3","zh","Action"
"2001-11-16","Harry Potter and the Philosopher's Stone",230.0,"22210","7.9","en","Adventure, Fantasy"
"2012-04-25","The Avengers",229.772,"26490","7.7","en","Science Fiction, Action, Adventure"
"2021-06-15","Dragon Fury",229.215,"34","6.1","en","Horror, Fantasy, Mystery"
"2021-07-29","Tarumama",228.895,"19","5.1","es","Horror, Drama"
"2016-10-25","Doctor Strange",228.266,"18471","7.4","en","Action, Adventure, Fantasy, Science Fiction"
"2021-10-14","Halloween Kills",227.825,"1585","6.8","en","Horror, Thriller"
"2022-02-10","The Exorcism of God",226.771,"7","5.6","en","Horror"
"2019-06-28","Spider-Man: Far From Home",224.034,"12176","7.5","en","Action, Adventure, Science Fiction"
"2022-01-01","Harry Potter 20th Anniversary: Return to Hogwarts",222.907,"1105","8.0","en","Documentary"
"2020-09-02","After We Collided",221.992,"4481","7.3","en","Romance, Drama"
"2022-02-17","The Desperate Hour",221.838,"21","5.8","en","Thriller"
"2015-04-18","Dragon Ball Z: Resurrection 'F'",220.049,"1361","6.8","ja","Action, Animation, Science Fiction"
"2021-10-28","Seal Team",220.017,"126","7.1","en","Animation, Family, Comedy"
"2009-03-19","Knowing",218.406,"4251","6.1","en","Action, Mystery, Science Fiction, Thriller"
"2021-10-01","Witch Hunt",217.266,"145","7.2","en","Fantasy, Horror, Thriller, Drama"
"2014-09-10","The Maze Runner",215.466,"14398","7.2","en","Action, Mystery, Science Fiction, Thriller"
"2021-03-31","The Unholy",214.999,"1543","6.8","en","Horror"
"2019-12-19","Ashfall",212.134,"357","6.6","ko","Action, Adventure, Thriller"
"2022-02-11","The Sky Is Everywhere",211.618,"16","5.8","en","Drama, Romance, Music"
"2021-09-09","Time Is Up",211.613,"250","6.2","en","Romance, Drama"
"2021-06-30","The Deep House",211.563,"527","6.5","en","Horror"
"2015-08-07","Boruto: Naruto the Movie",211.071,"996","7.7","ja","Animation, Action, Comedy"
"2002-11-13","Harry Potter and the Chamber of Secrets",210.837,"17901","7.7","en","Adventure, Fantasy"
"2020-02-12","Sonic the Hedgehog",210.751,"7559","7.4","en","Action, Science Fiction, Comedy, Family"
"2017-10-27","Coco",210.527,"15355","8.2","en","Family, Animation, Fantasy, Music, Comedy, Adventure"
"2017-06-21","Ava",210.438,"130","6.0","fr","Drama"
"2014-10-15","Fury",210.26,"9757","7.5","en","War, Drama, Action"
"2021-08-12","Don't Breathe 2",209.059,"1490","7.4","en","Thriller, Horror"
"2021-10-01","Matando Cabos 2: La Máscara del Máscara",209.018,"70","7.8","es","Action, Comedy, Adventure"
"2020-12-03","Monster Hunter",208.742,"2460","6.8","en","Action, Fantasy, Adventure"
"2014-12-06","The Last: Naruto the Movie",208.37,"1139","7.9","ja","Action, Romance, Animation"
"2017-07-05","Spider-Man: Homecoming",207.817,"18174","7.4","en","Action, Adventure, Science Fiction, Drama"
"2022-02-11","Bigbug",207.027,"176","5.4","fr","Science Fiction, Comedy"
"2002-05-01","Spider-Man",206.376,"15336","7.2","en","Fantasy, Action"
"2019-04-24","Avengers: Endgame",205.308,"20521","8.3","en","Adventure, Science Fiction, Action"
"2021-07-21","Old",205.157,"2288","6.6","en","Thriller, Mystery, Horror"
"2011-09-28","Real Steel",203.843,"6561","6.9","en","Action, Science Fiction, Drama"
"2022-02-11","Love and Leashes",203.743,"68","6.3","ko","Romance, Comedy"
"2019-04-11","After",203.008,"6973","7.2","en","Romance, Drama"
"2021-06-30","The Forever Purge",202.704,"1652","7.3","en","Horror, Action, Thriller"
"2022-02-11","Tall Girl 2",202.01,"127","6.0","en","Comedy, Drama, Romance"
"2022-02-17","Dog",200.253,"32","8.3","en","Drama, Comedy"
"2007-12-12","I Am Legend",199.248,"13042","7.2","en","Drama, Science Fiction, Thriller"
"2007-08-04","Naruto Shippuden the Movie",198.011,"418","7.2","ja","Animation, Action, Fantasy"
"2021-02-10","Tom & Jerry",197.721,"1948","7.0","en","Comedy, Family, Animation"
"2022-02-10","Against the Ice",195.989,"117","7.0","en","Adventure, History, Drama"
"2021-08-12","An Egg Rescue",194.622,"295","8.1","es","Animation, Comedy"
"2005-11-16","Harry Potter and the Goblet of Fire",193.459,"16947","7.8","en","Adventure, Fantasy, Family"
"2021-02-11","Pretty Guardian Sailor Moon Eternal The Movie Part 2",192.922,"102","8.1","ja","Animation, Action, Adventure, Comedy, Drama, Fantasy, Romance"
"2021-07-29","Demonic",192.391,"109","4.8","en","Horror, Thriller"
"2021-11-24","Far From the Tree",192.331,"194","8.1","en","Animation, Family"
"2020-07-09","Black Water: Abyss",191.722,"312","5.1","en","Horror, Thriller, Adventure, Mystery"
"2020-12-11","Yes, No, or Maybe Half?",191.592,"17","6.7","ja","Animation, Drama, Romance"
"2020-08-14","The SpongeBob Movie: Sponge on the Run",191.122,"2436","7.6","en","Family, Animation, Fantasy, Adventure, Comedy"
"2018-12-06","Spider-Man: Into the Spider-Verse",190.775,"10951","8.4","en","Action, Adventure, Animation, Science Fiction"
"2004-05-31","Harry Potter and the Prisoner of Azkaban",189.771,"17607","8.0","en","Adventure, Fantasy"
"2021-03-03","The Vault",189.579,"555","7.1","en","Crime, Action, Thriller"
"2022-03-09","The Adam Project",189.245,"2","6.0","en","Science Fiction, Adventure, Comedy"
"2016-02-09","Deadpool",189.206,"26390","7.6","en","Action, Adventure, Comedy"
"2021-10-22","The Harder They Fall",188.865,"611","6.7","en","Western"
"2001-11-01","Monsters, Inc.",188.759,"15255","7.8","en","Animation, Comedy, Family"
"2021-02-09","Ainbo: Spirit of the Amazon",188.484,"285","7.1","en","Adventure, Animation, Family, Fantasy"
"2021-12-07","Don't Look Up",188.404,"4819","7.2","en","Comedy, Drama, Science Fiction"
"2017-06-15","Cars 3",186.621,"4416","6.8","en","Animation, Adventure, Comedy, Family"
"2007-05-01","Spider-Man 3",186.125,"11340","6.3","en","Fantasy, Action, Adventure"
"2021-12-03","Last Shoot Out",185.045,"92","6.4","en","Western, Action, Thriller"
"2019-07-21","Sator",184.487,"66","5.4","en","Horror"
"2010-04-28","Iron Man 2",183.136,"17594","6.8","en","Adventure, Action, Science Fiction"
"2020-12-25","Soul",182.718,"7736","8.2","en","Animation, Comedy, Fantasy, Family"
"2011-05-14","Pirates of the Caribbean: On Stranger Tides",182.133,"11712","6.5","en","Adventure, Action, Fantasy"
"2021-02-28","Phobias",181.527,"27","5.4","en","Horror, Thriller"
"2021-05-21","A Quiet Place Part II",181.389,"3997","7.6","en","Science Fiction, Thriller, Horror"
"1972-10-14","What the Peeper Saw",181.317,"19","5.7","it","Horror, Drama, Thriller"
"2023-04-06","Fast & Furious 10",181.216,"0","0.0","en","Action, Crime"
"2012-07-16","The Dark Knight Rises",179.587,"19126","7.8","en","Action, Crime, Drama, Thriller"
"2021-11-26","Trolls Holiday in Harmony",179.019,"102","7.6","en","Animation, Fantasy, Family"
"2016-03-23","Batman v Superman: Dawn of Justice",178.212,"15596","5.9","en","Action, Adventure, Fantasy"
"2021-09-01","Motherly",176.378,"95","7.2","en","Thriller, Horror"
"2021-03-18","Nobody",175.065,"4292","8.2","en","Action, Crime, Thriller"
"2018-08-03","My Hero Academia: Two Heroes",174.756,"743","8.0","ja","Animation, Action, Adventure, Fantasy"
"2009-07-07","Harry Potter and the Half-Blood Prince",174.697,"15861","7.7","en","Adventure, Fantasy"
"2022-01-06","Book of Love",174.481,"20","5.3","en","Comedy, Romance"
"2021-08-26","Jurassic Hunt",174.421,"180","5.0","en","Action, Science Fiction, Thriller"
"2021-12-25","American Underdog",173.962,"54","7.2","en","Drama"
"2008-07-14","The Dark Knight",173.923,"26994","8.5","en","Drama, Action, Crime, Thriller"
"2021-02-24","Jujutsu Kaisen 0",173.575,"21","7.8","ja","Animation, Action, Adventure, Mystery"
"2020-07-02","Ava",173.205,"1917","5.7","en","Action, Crime, Drama, Thriller"
"2010-12-03","Three Steps Above Heaven",172.85,"2394","7.8","es","Romance, Drama"
"2021-08-11","Sinkhole",172.571,"36","7.1","ko","Comedy, Drama"
"2010-05-22","Undisputed III: Redemption",172.362,"604","7.5","en","Action, Thriller"
"1995-10-30","Toy Story",171.714,"15127","8.0","en","Animation, Adventure, Family, Comedy"
"2020-10-25","Roald Dahl's The Witches",171.361,"2092","6.5","en","Family, Fantasy, Adventure, Comedy, Horror"
"2021-12-25","El Paseo 6",170.869,"5","3.5","es","Comedy"
"2021-04-30","Separation",170.565,"127","5.7","en","Horror, Drama"
"2022-04-22","Dragon Ball Super: Super Hero",170.551,"0","0.0","ja","Animation, Science Fiction, Action"
"2022-08-25","After Ever Happy",169.964,"0","0.0","en","Romance"
"2009-01-22","Brothers",169.495,"2085","7.1","en","Drama, Thriller, War"
"2001-05-18","Shrek",169.438,"13610","7.7","en","Animation, Comedy, Fantasy, Adventure, Family"
"2022-02-01","Jackass Forever",169.376,"49","7.1","en","Action, Comedy, Documentary"
"2014-10-24","Big Hero 6",169.209,"13447","7.8","en","Adventure, Family, Animation, Action, Comedy"
"2021-04-02","Monster Pets: A Hotel Transylvania Short",169.005,"295","7.5","en","Animation, Comedy, Fantasy"
"2015-03-03","Off Course",168.353,"254","6.2","es","Romance, Comedy"
"2014-12-10","The Hobbit: The Battle of the Five Armies",168.034,"11790","7.3","en","Action, Adventure, Fantasy"
"2021-04-01","Major Grom: Plague Doctor",168.017,"405","6.8","ru","Action, Adventure"
"2021-01-13","Monster Family 2",167.912,"28","7.1","en","Animation, Family"
"2021-07-14","Gunpowder Milkshake",167.503,"525","6.4","en","Action, Crime, Thriller"
"1986-01-18","Beautiful Sisters: Flesh Slave",167.255,"4","4.0","ja","Crime, Horror"
"2021-01-22","Narco Sub",166.671,"183","6.7","en","Action, Drama, Crime"
"2007-06-28","Harry Potter and the Order of the Phoenix",166.458,"16081","7.7","en","Adventure, Fantasy, Mystery"
"2015-09-09","Legend",165.617,"2856","6.9","en","Crime, Thriller"
"2021-09-14","Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog",165.462,"279","8.2","en","Animation, Comedy, Mystery, Family, Fantasy"
"2021-08-13","Descendants: The Royal Wedding",165.257,"97","7.0","en","TV Movie, Animation, Comedy, Family, Drama"
"2019-11-20","Frozen II",164.81,"8052","7.3","en","Family, Animation, Adventure, Comedy, Fantasy"
"2021-08-13","Swim",164.687,"27","7.5","en","Horror, Action"
"2021-08-27","Mutation on Mars",164.623,"22","6.6","zh","Drama, Science Fiction"
"2021-09-03","Zone 414",164.567,"151","5.5","en","Science Fiction, Thriller, Mystery"
"2011-07-07","Harry Potter and the Deathly Hallows: Part 2",163.782,"16964","8.1","en","Fantasy, Adventure"
"2015-04-22","Avengers: Age of Ultron",163.611,"19473","7.3","en","Action, Adventure, Science Fiction"
"2017-10-24","Thor: Ragnarok",163.564,"17313","7.6","en","Action, Adventure, Fantasy, Science Fiction"
"2019-09-04","It Chapter Two",162.984,"6739","6.9","en","Horror, Fantasy"
"1994-06-23","The Lion King",162.049,"15064","8.3","en","Family, Animation, Drama"
"2021-11-18","King Richard",161.55,"845","8.0","en","Drama, History"
"2021-10-21","Last Night in Soho",161.493,"1360","7.5","en","Thriller, Horror, Mystery"
"1992-06-19","Batman Returns",161.321,"5075","6.9","en","Action, Fantasy"
"2010-06-23","The Twilight Saga: Eclipse",161.157,"7381","6.2","en","Adventure, Fantasy, Drama, Romance"
"2021-09-03","Wild Indian",161.074,"21","6.4","en","Crime, Drama, Thriller"
"2012-03-01","Project X",160.9,"5048","6.8","en","Comedy"
"2021-08-19","The Protégé",160.697,"531","6.6","en","Action"
"2021-11-05","Ida Red",160.579,"25","5.9","en","Crime, Thriller, Drama, Action"
"2013-01-14","The Haunting of Helena",159.578,"119","5.6","en","Horror, Thriller"
"2020-09-30","Vanguard",159.416,"395","6.3","zh","Action, Adventure, Crime"
"2003-07-09","Pirates of the Caribbean: The Curse of the Black Pearl",159.245,"17095","7.8","en","Adventure, Fantasy, Action"
"2021-07-07","The Simpsons: The Good, the Bart, and the Loki",159.137,"510","7.5","en","Animation, Comedy, Family"
"2021-01-15","The Marksman",158.638,"1118","7.0","en","Action, Thriller, Crime"
"2021-12-15","Vicky and Her Mystery",158.14,"287","7.3","fr","Adventure, Family, Drama"
"2019-08-30","KonoSuba: God's Blessing on this Wonderful World! Legend of Crimson",158.094,"362","8.4","ja","Animation, Adventure, Comedy, Fantasy"
"2021-10-22","7 Prisoners",158.066,"216","7.1","pt","Drama, Crime"
"2022-02-23","11M",157.39,"11","6.5","es","Documentary"
"2021-04-12","Seobok: Project Clone",156.421,"110","7.6","ko","Science Fiction, Action"
"2004-05-19","Shrek 2",155.923,"9736","7.2","en","Animation, Family, Comedy, Fantasy, Adventure"
"2010-02-01","Percy Jackson & the Olympians: The Lightning Thief",155.793,"6222","6.2","en","Adventure, Fantasy, Family"
"2016-08-26","Your Name.",155.483,"8426","8.5","ja","Romance, Animation, Drama"
"2021-12-17","Chief Daddy 2: Going for Broke",155.401,"59","5.9","en","Comedy"
"2016-04-27","Captain America: Civil War",155.386,"19474","7.4","en","Adventure, Action, Science Fiction"
"2019-10-02","Joker",155.06,"20016","8.2","en","Crime, Thriller, Drama"
"2012-12-20","Jack Reacher",154.981,"5678","6.6","en","Crime, Drama, Thriller, Action"
"2022-03-04","The Invisible Thread",154.77,"43","6.7","it","Comedy, Drama"
"2021-08-11","SAS: Red Notice",154.104,"344","5.9","en","Drama, Action, Thriller"
"2020-09-04","Mulan",153.973,"5520","7.0","en","Adventure, Fantasy, Drama"
"2022-02-10","I Want You Back",153.819,"89","6.1","en","Comedy, Romance"
"2006-07-06","Pirates of the Caribbean: Dead Man's Chest",152.964,"13140","7.3","en","Adventure, Fantasy, Action"
"2009-09-29","Ninja Assassin",152.29,"1115","6.5","en","Action"
"2013-12-25","The Wolf of Wall Street",152.102,"19325","8.0","en","Crime, Drama, Comedy"
"2021-12-30","Hilda and the Mountain King",151.978,"50","7.4","en","Animation, Adventure, Fantasy, Family, TV Movie"
"2021-06-04","Rurouni Kenshin: The Beginning",151.971,"252","7.8","ja","Action, Adventure, Drama"
"2021-12-24","Minnal Murali",151.512,"192","7.2","ml","Action, Adventure, Comedy"
"2019-07-12","Pokémon: Mewtwo Strikes Back - Evolution",150.992,"366","6.7","ja","Animation, Adventure, Fantasy, Action, Family"
"2021-07-30","Fate/Grand Order Final Singularity – Grand Temple of Time: Solomon",150.735,"4","7.0","ja","Animation, Action, Adventure, Fantasy"
"2014-08-07","Teenage Mutant Ninja Turtles",150.428,"5774","5.9","en","Science Fiction, Action, Adventure, Comedy"
"2015-02-11","Fifty Shades of Grey",150.025,"10087","5.9","en","Drama, Romance, Thriller"
"2021-11-15","Never Back Down: Revolt",149.856,"45","6.6","en","Action"
"2021-01-15","Wish Dragon",149.833,"783","8.1","en","Animation, Family, Comedy, Fantasy"
"2002-03-10","Ice Age",149.753,"10875","7.3","en","Animation, Comedy, Family, Adventure"
"2019-08-01","Fast & Furious Presents: Hobbs & Shaw",149.514,"5643","6.9","en","Action, Adventure, Comedy"
"1999-10-30","Toy Story 2",149.026,"11384","7.6","en","Animation, Comedy, Family"
"2021-08-18","Sweet Girl",148.93,"850","6.8","en","Action"
"2021-08-18","The Stronghold",148.876,"710","7.5","fr","Thriller"
"2021-05-20","Spirit Untamed",148.797,"350","7.5","en","Animation, Adventure, Family, Western"
"2021-04-29","Tom Clancy's Without Remorse",148.326,"1843","7.1","en","Action, Thriller"
