"Release_Date","Title","Popularity","Vote_Count","Vote_Average","Original_Language","Genre"
"2014-07-12","Say 'I Love You'",21.548,"93","7.0","ja","Drama, Romance"
"2016-01-22","The Monkey King 2",21.546,"65","5.8","zh","Action, Adventure, Fantasy"
"1989-01-12","When Harry Met Sally...",21.542,"3148","7.4","en","Comedy, Romance, Drama"
"2022-03-09","My Mother the State",21.54,"0","0.0","lv","Documentary"
"1979-12-07","Star Trek: The Motion Picture",21.536,"1289","6.5","en","Science Fiction, Adventure, Mystery"
"2007-04-19","The Last Legion",21.533,"654","5.6","en","Action, Adventure, Fantasy, War"
"2004-05-19","Ma mère",21.531,"102","4.5","fr","Drama"
"1993-05-21","Sliver",21.528,"494","5.4","en","Drama, Thriller"
"2018-08-22","The Happytime Murders",21.525,"796","5.7","en","Action, Comedy, Crime"
"1997-01-31","Mr. Nice Guy",21.525,"495","6.5","cn","Crime, Action, Comedy"
"2002-02-15","John Q",21.524,"1799","7.2","en","Drama, Thriller, Crime"
"2015-02-24","Power/Rangers",21.521,"183","7.1","en","Action, Adventure, Science Fiction, Thriller"
"2015-05-16","Mushi-Shi: The Next Chapter - Drops of Bells",21.512,"31","8.5","ja","Fantasy, Adventure, Mystery, Animation"
"2001-11-06","Mickey's Magical Christmas: Snowed in at the House of Mouse",21.512,"218","7.0","en","Animation, Family, Comedy"
"2014-08-02","SlugTerra: Return of the Elementals",21.498,"81","6.4","en","Family, Animation, Adventure"
"2019-05-03","The Last Summer",21.479,"1237","6.0","en","Romance, Comedy"
"2006-02-03","When a Stranger Calls",21.479,"830","5.7","en","Horror"
"2022-03-08","Becoming A Black Woman",21.475,"0","0.0","fr","Documentary"
"2005-10-07","Waiting...",21.474,"591","6.3","en","Comedy"
"1992-11-06","Passenger 57",21.472,"766","5.9","en","Action, Adventure, Thriller"
"2021-04-29","Things Heard & Seen",21.471,"675","5.8","en","Horror"
"2011-07-02","Fullmetal Alchemist the Movie: The Sacred Star of Milos",21.457,"176","7.0","ja","Adventure, Fantasy, Animation, Action, Science Fiction"
"2016-11-11","The Love Witch",21.454,"336","6.3","en","Fantasy, Romance, Horror"
"2015-10-29","The Dressmaker",21.452,"1356","7.0","en","Drama, Comedy, Western"
"2019-12-12","Skyfire",21.446,"176","6.6","zh","Action, Adventure"
"2006-03-11","Fist of the North Star: Legend of Raoh - Chapter of Death in Love",21.439,"56","6.7","ja","Animation, Action"
"1990-09-14","Death Warrant",21.433,"411","6.2","en","Action, Crime, Thriller"
"2016-04-29","Term Life",21.427,"229","5.9","en","Thriller"
"2005-03-10","Hostage",21.421,"1307","6.3","en","Action, Thriller, Crime"
"1996-11-07","Black Mask",21.418,"200","6.1","cn","Action"
"1982-11-30","Gandhi",21.409,"1850","7.5","en","Drama, History"
"2022-03-08","We Are Like Waves",21.404,"0","0.0","en","Documentary"
"2019-05-24","Rim of the World",21.4,"773","6.0","en","Science Fiction, Adventure, Action, Comedy"
"2017-06-16","Puss in Book: Trapped in an Epic Tale",21.4,"155","6.5","en","Family, Fantasy, Animation, Comedy, Adventure"
"1968-12-22","The Love Bug",21.399,"444","6.5","en","Comedy, Family, Fantasy"
